story_id,n_tokens,mean_norm,norm_std,mean_mean,mean_var,mean_max,mean_min,sim_mean,sim_std,sim_min,difficulty
story_0000,1191,63.76792907714844,21.050344467163086,-0.07464981079101562,5.863943576812744,14.918299674987793,-36.76184844970703,0.686477541923523,0.3426183760166168,-0.16059476137161255,89
story_0001,1202,63.30189895629883,21.89834213256836,-0.07506941258907318,5.833985805511475,14.528767585754395,-36.60187530517578,0.6651634573936462,0.35448238253593445,-0.1532752364873886,89
story_0002,1144,63.58914566040039,20.423288345336914,-0.08375846594572067,5.799149513244629,14.566218376159668,-37.03322219848633,0.7078772783279419,0.3386307656764984,-0.05403797701001167,80
story_0003,1166,63.58818817138672,21.198816299438477,-0.07779252529144287,5.841757297515869,14.672937393188477,-36.77532958984375,0.6678367853164673,0.3602615296840668,-0.1285170465707779,86
story_0004,1143,64.14826965332031,20.138620376586914,-0.07374287396669388,5.878881454467773,14.946479797363281,-37.09596633911133,0.7190906405448914,0.3281606435775757,-0.04105560481548309,77
story_0005,1171,63.92997360229492,20.934614181518555,-0.07512623071670532,5.884536266326904,15.015703201293945,-37.07097244262695,0.6862385869026184,0.34506314992904663,-0.1552460938692093,81
story_0006,1206,62.50392532348633,21.84293556213379,-0.07781803607940674,5.699648857116699,14.45073413848877,-35.86859130859375,0.6632637977600098,0.35617032647132874,-0.15760086476802826,92
story_0007,1229,62.16328811645508,21.74720573425293,-0.07554924488067627,5.639382839202881,14.464924812316895,-35.561546325683594,0.6589267253875732,0.3534817099571228,-0.16984602808952332,94
story_0008,1191,61.82002258300781,21.843904495239258,-0.07881557941436768,5.588709831237793,14.427618026733398,-35.55217361450195,0.6515733003616333,0.35927248001098633,-0.16397297382354736,90
story_0009,1164,63.683406829833984,21.229948043823242,-0.0772184208035469,5.859212398529053,14.876407623291016,-36.61575698852539,0.6690996289253235,0.3623591661453247,-0.16183380782604218,83
story_0010,1183,63.34413146972656,21.677133560180664,-0.0811920166015625,5.827389717102051,14.521697044372559,-36.688323974609375,0.6616455912590027,0.3637966215610504,-0.1513347029685974,87
story_0011,1143,64.16236114501953,20.211036682128906,-0.08126955479383469,5.883718013763428,14.70797061920166,-37.3894157409668,0.7131320834159851,0.3369635343551636,-0.16664637625217438,80
story_0012,1171,64.1125717163086,21.36113929748535,-0.07694070786237717,5.938088417053223,14.663368225097656,-37.16133117675781,0.6856183409690857,0.3561377227306366,-0.1616843193769455,84
story_0013,1140,63.943077087402344,20.535964965820312,-0.08174654096364975,5.864238739013672,14.523300170898438,-37.56126403808594,0.7018921375274658,0.3421570956707001,-0.1508248746395111,83
story_0014,1146,63.37379455566406,20.78826904296875,-0.0783725157380104,5.784119129180908,14.62369441986084,-36.890201568603516,0.6945916414260864,0.3374553620815277,-0.09017284959554672,79
story_0015,1177,63.70106887817383,20.939918518066406,-0.08098508417606354,5.845699787139893,14.557687759399414,-36.80167007446289,0.6763532757759094,0.3606993556022644,-0.16775061190128326,85
story_0016,1170,63.41169738769531,21.005146026611328,-0.07971073687076569,5.801829814910889,14.51171875,-36.899139404296875,0.6799084544181824,0.3460559844970703,-0.12181024253368378,80
story_0017,1162,63.91484069824219,20.83025360107422,-0.08313355594873428,5.874899387359619,14.686662673950195,-37.03223419189453,0.6910322308540344,0.3531186282634735,-0.16500259935855865,84
story_0018,1137,64.56354522705078,20.051803588867188,-0.07596413046121597,5.943587779998779,14.8552827835083,-37.383384704589844,0.7125607132911682,0.33749398589134216,-0.17366454005241394,77
story_0019,1135,64.54046630859375,20.213024139404297,-0.08318411558866501,5.946782112121582,14.696345329284668,-37.65033721923828,0.7179709672927856,0.3327251374721527,-0.15624620020389557,78
story_0020,1189,62.723716735839844,22.175588607788086,-0.07550942152738571,5.754868030548096,14.368547439575195,-36.09877395629883,0.6403959393501282,0.3658078908920288,-0.17272719740867615,92
story_0021,1218,63.08523941040039,22.138341903686523,-0.07851066440343857,5.811376094818115,14.366632461547852,-36.445919036865234,0.6319019794464111,0.3779505789279938,-0.18039536476135254,95
story_0022,1167,63.91088104248047,21.75462532043457,-0.08020758628845215,5.925934791564941,14.439118385314941,-37.166988372802734,0.6818287372589111,0.36099836230278015,-0.16947545111179352,84
story_0023,1148,64.16742706298828,21.3795223236084,-0.08240733295679092,5.9474992752075195,14.53318977355957,-37.40397644042969,0.6812633275985718,0.35316628217697144,-0.12439371645450592,80
